tipo,titulo,link,data
Manchete Principal,Bolsonaro vai ser preso agora? Entenda o que acontece com os 8 condenados pelo STF,https://jc.uol.com.br/politica/2025/09/11/bolsonaro-vai-ser-preso-agora-entenda-o-que-acontece-apos-condenacao.html,Publicado em 11/09/2025 às 20:53
Manchete Secundária,Lula sobre julgamento da trama golpista: cada juiz vê aquilo que quer ver,https://jc.uol.com.br/politica/2025/09/11/lula-sobre-julgamento-da-trama-golpista-cada-juiz-ve-aquilo-que-quer-ver.html,Publicado em 11/09/2025 às 20:48
Manchete Secundária,JC Educação: Saúde mental na escola é responsabilidade coletiva e precisa estar no centro do debate,https://jc.uol.com.br/colunas/enem-e-educacao/2025/09/11/jc-educacao-saude-mental-na-escola-e-responsabilidade-coletiva-e-precisa-estar-no-centro-do-debate.html,"Publicado em 11/09/2025 às 17:16
                | Atualizado em 11/09/2025 às 17:54"
Manchete Secundária,Caso Alícia: adolescente é apreendido suspeito de agredir a estudante,https://jc.uol.com.br/colunas/seguranca/2025/09/11/caso-alicia-adolescente-e-apreendido-suspeito-de-agredir-a-estudante.html,"Publicado em 11/09/2025 às 15:45
                | Atualizado em 11/09/2025 às 17:03"
Manchete Secundária,Governo de Pernambuco publica edital de leilão para concessão parcial de serviços da Compesa,https://jc.uol.com.br/economia/2025/09/11/governo-de-pernambuco-publica-edital-de-leilao-para-concessao-parcial-de-servicos-da-compesa.html,Publicado em 11/09/2025 às 18:06
Manchete Secundária,STEAM Fair: metodologia da Eleva Recife onde o aluno é protagonista,https://jc.uol.com.br/jc360/2025/09/12/steam-fair-metodologia-da-eleva-recife-onde-o-aluno-e-protagonista.html,Publicado em 12/09/2025 às 7:20
Manchete Secundária,Colégio Studio Class reforça a importância da escola na formação da criança,https://jc.uol.com.br/jc360/2025/09/12/colegio-studio-class-reforca-a-importancia-da-escola-na-formacao-da-crianca.html,Publicado em 12/09/2025 às 7:10
Manchete Secundária,Geração Solidária: projeto do Colégio Núcleo estimula protagonismo e coletividade dos estudantes,https://jc.uol.com.br/jc360/2025/09/12/geracao-solidaria-projeto-do-colegio-nucleo-estimula-protagonismo-e-coletividade-dos-estudantes.html,Publicado em 12/09/2025 às 7:00
Manchete Secundária,"Colégio Motivo comemora 25 anos investindo em pessoas, tecnologia e educação",https://jc.uol.com.br/jc360/2025/09/12/colegio-motivo-comemora-25-anos-investindo-em-pessoas-tecnologia-e-educacao.html,Publicado em 12/09/2025 às 6:50
Manchete Secundária,Mulher é esfaqueada durante confusão na rua em bairro da Região Metropolitana,https://jc.uol.com.br/tv-jornal/videos/2025/09/11/mulher-e-esfaqueada-durante-confusao-na-rua-em-bairro-da-regiao-metropolitana.html,Publicado em 11/09/2025 às 18:45
